ASSET REGISTRY TEMPLATE,,,,,,,,,,,,,,,,,,,,,,
Office Type,Regional Office/ Division Office,Asset Classification,Asset Sub Class,UACS Object Code,Asset Item,Manufacturer,Model,Serial Number,Specification,Unit of Measure,Property Number,Current Condition,Source of Fund,Cost of Acquisition,Date of Acquisition,Estimated Total Life Years,Name of Accountable Officer,Asset Location,Service Center,Room Number,Remarks,Center Manager
DO,Marikina City,Furniture Fixtures and Books,Furniture and Fixtures,1060701000,Stainless Cabinet ,NA,2019,001-1,"Chemistry storage cabinet, stainless steel",Unit   ,NHS001-001,Operational and in Good Condition,DepED Central Office," 18,072.93 ",12/5/2019,10,Hadji M. Tejada,MCF bldg,SHS - BPP food lab,304,FBS-SHS,Girlie Cao
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Gas Range,NA,2019,NA,Gas Range with oven /  4 burner,Unit,SHS-BPP19-01,Operational and in Good Condition,DepED Central Office," 17,000.00 ",8/9/2019,10,Hadji M. Tejada,MCF bldg,SHS - BPP food lab,304,FBS-SHS,Girlie Cao
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Gas Range,NA,2019,NA,Gas Range with oven /  4 burner,Unit,SHS-BPP19-02,Operational and in Good Condition,DepED Central Office," 17,000.00 ",8/9/2019,10,Hadji M. Tejada,MCF bldg,SHS - BPP food lab,304,FBS-SHS,Girlie Cao
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Gas Range,NA,2017,NA,Gas Range,Unit,SHS-BPP17-14,Operational and in good condition,DepED Central Office," 17,000.00 ",1/1/2017,10,Hadji M. Tejada,MCF bldg,SHS - BPP food lab,304,,Girlie Cao
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Refrigerator,NA,2019,NA,Refrigirator 7 cu. Ft,Unit,SHS-BPP19-03,Operational and in Good Condition,DepED Central Office," 20,000.00 ",8/9/2019,10,Hadji M. Tejada,MCF bldg,Property Custodian,301,for distribution,Rodin Balugo
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Refrigerator,NA,2019,NA,Refrigirator 7 cu. Ft,Unit,SHS-BPP19-04,Operational and in Good Condition,DepED Central Office," 20,000.00 ",8/9/2019,10,Hadji M. Tejada,MCF bldg,Property Custodian,301,for distribution,Rodin Balugo
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Freezer,NA,2019,NA,Upright Freezer,Unit,SHS-BPP19-05,Operational and in Good Condition,DepED Central Office," 22,000.00 ",8/9/2019,10,Hadji M. Tejada,MCF bldg,Property Custodian,301,for distribution,Rodin Balugo
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Freezer,NA,2019,NA,Upright Freezer,Unit,SHS-BPP19-06,Operational and in Good Condition,DepED Central Office," 22,000.00 ",8/9/2019,10,Hadji M. Tejada,MCF bldg,Property Custodian,301,for distribution,Rodin Balugo
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Gas Range,Fujidenzo,2017,NA,Gas Range Fujidenzo,Unit,SHS-BPP17-01,Operational and in Good Condition,DepED Central Office," 18,998.00 ",1/1/2017,10,Hadji M. Tejada,MCF bldg,SHS - BPP food lab,304,FBS-SHS,Girlie Cao
DO,Marikina City,Machinery and Equipment,Other Machinery and Equipment,1060599000,Kitchen Aid Mixer,NA,2017,NA,Stand Mixer,Unit,SHS-BPP17-02,Operational and in Good Condition,DepED Central Office," 17,000.00 ",1/1/2017,10,Hadji M. Tejada,MCF bldg,SHS - BPP food lab,304,FBS-SHS,Girlie Cao
