ASSET REGISTRY TEMPLATE,,,,,,,,,,,,,,,,,,,,,,
Office Type,Regional Office/ Division Office,Asset Classification,Asset Sub Class,UACS Object Code,Asset Item,Manufacturer,Model,Serial Number,Specification,Property Number,UNIT OF MEASURE,Current Condition,Source of Fund,Cost of Acquisition,Date of Acquisition,Estimated Total Life Years,Name of Accountable Officer,Asset Location,Service Center,Room Number,Remarks,Center Manager
,,,,,,,,,,,,,,,,,,,,,,
DO,Marikina City,Machinery and Equipment,Machinery,1060501000,Freezer - Upright Freezer,FUJIDENZO,FU-120SS,FU120SS201511150054,"12 cu. Ft 6 shelves 1 bottom drawer, Manual Defrost",58638,Unit,Operational and in good condition,Asset is Owned by LGU," 28,740.00 ",12/29/2015,5,URIEL B. TEODORO,FOOD LABORATORY 3,FOOD LABORATORY,MB1 204,,ROSALIE G. MENDOZA
DO,Marikina City,Other Property Plant and Equipment,"Other Property, Plant and Equipment",1069999000,Kitchen Trolley,AAAE Enterprises,NA,NA,"304 Stainless Steel, Dimension: 31""x19""x26"" 3 Layers",58644,Unit,Operational and in good condition,Asset is Owned by LGU," 21,600.00 ",12/29/2015,5,URIEL B. TEODORO,FOOD LABORATORY 3,FOOD LABORATORY,MB1 204,,ROSALIE G. MENDOZA
DO,Marikina City,Machinery and Equipment,Machinery,1060501000,Planetary Mixer for Dough,LinkRick,BB15,16104732,Planetary Mixer for Dough,BPP-2016-08-001,Unit,Operational and in good condition,DepED Central Office," 20,931.61 ",11/08/2016,5,URIEL B. TEODORO,FOOD LABORATORY 3,FOOD LABORATORY,MB1 204,,ROSALIE G. MENDOZA
DO,Marikina City,Machinery and Equipment,Machinery,1060501000,Planetary Mixer for Dough,LinkRick,BB15,16104785,Planetary Mixer for Dough,BPP-2016-08-002,Unit,Operational and in good condition,DepED Central Office," 20,931.61 ",11/08/2016,5,URIEL B. TEODORO,FOOD LABORATORY 3,FOOD LABORATORY,MB1 204,,ROSALIE G. MENDOZA
DO,Marikina City,Machinery and Equipment,Machinery,1060501000,Planetary Mixer for Dough,LinkRick,BB15,16104777,Planetary Mixer for Dough,BPP-2016-08-003,Unit,Operational and in good condition,DepED Central Office," 20,931.61 ",11/08/2016,5,URIEL B. TEODORO,FOOD LABORATORY 3,FOOD LABORATORY,MB1 204,,ROSALIE G. MENDOZA
DO,Marikina City,Machinery and Equipment,Machinery,1060501000,Planetary Mixer for Dough,LinkRick,BB15,16104753,Planetary Mixer for Dough,BPP-2016-08-004,Unit,Operational and in good condition,DepED Central Office," 20,931.61 ",11/08/2016,5,URIEL B. TEODORO,FOOD LABORATORY 3,FOOD LABORATORY,MB1 204,,ROSALIE G. MENDOZA
DO,Marikina City,Machinery and Equipment,Machinery,1060501000,Planetary Mixer for Dough,LinkRick,BB15,16104808,Planetary Mixer for Dough,BPP-2016-08-005,Unit,Operational and in good condition,DepED Central Office," 20,931.61 ",11/08/2016,5,URIEL B. TEODORO,FOOD LABORATORY 3,FOOD LABORATORY,MB1 204,,ROSALIE G. MENDOZA
DO,Marikina City,Machinery and Equipment,Machinery,1060501000,Mechanical Dough Roller,HAI OU,DZM-200,NA,Mechanical Dough Roller,BPP-2016-08-006,Unit,Operational and in good condition,DepED Central Office," 19,256.81 ",11/08/2016,5,URIEL B. TEODORO,FOOD LABORATORY 3,FOOD LABORATORY,MB1 204,,ROSALIE G. MENDOZA
DO,Marikina City,Machinery and Equipment,Machinery,1060501000,Mechanical Dough Roller,HAI OU,DZM-200,NA,Mechanical Dough Roller,BPP-2016-08-007,Unit,Operational and in good condition,DepED Central Office," 19,256.81 ",11/08/2016,5,URIEL B. TEODORO,FOOD LABORATORY 3,FOOD LABORATORY,MB1 204,,ROSALIE G. MENDOZA
